"Name","lDAPDisplayName","Created","Modified","attributeID","attributeSyntax"
"ms-WMI-int8Max","msWMI-Int8Max","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1633","2.5.5.16"
"Priority","priority","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.231","2.5.5.9"
"msSFU-30-Netgroup-Host-At-Domain","msSFU30NetgroupHostAtDomain","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.6.18.1.348","2.5.5.5"
"Foreign-Identifier","foreignIdentifier","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.356","2.5.5.10"
"ms-DS-Password-Complexity-Enabled","msDS-PasswordComplexityEnabled","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2015","2.5.5.8"
"ms-WMI-int8Min","msWMI-Int8Min","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1634","2.5.5.16"
"Private-Key","privateKey","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.101","2.5.5.10"
"msSFU-30-Netgroup-User-At-Domain","msSFU30NetgroupUserAtDomain","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.6.18.1.349","2.5.5.5"
"Friendly-Names","friendlyNames","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.682","2.5.5.12"
"ms-DS-Password-Reversible-Encryption-Enabled","msDS-PasswordReversibleEncryptionEnabled","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2016","2.5.5.8"
"ms-WMI-int8ValidValues","msWMI-Int8ValidValues","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1635","2.5.5.16"
"Privilege-Attributes","privilegeAttributes","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.636","2.5.5.9"
"msSFU-30-Is-Valid-Container","msSFU30IsValidContainer","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.6.18.1.350","2.5.5.9"
"From-Entry","fromEntry","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.910","2.5.5.8"
"ms-DS-Local-Effective-Deletion-Time","msDS-LocalEffectiveDeletionTime","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2059","2.5.5.11"
"ms-WMI-Mof","msWMI-Mof","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1638","2.5.5.12"
"Privilege-Display-Name","privilegeDisplayName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.634","2.5.5.12"
"msSFU-30-Crypt-Method","msSFU30CryptMethod","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.6.18.1.352","2.5.5.5"
"From-Server","fromServer","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.40","2.5.5.1"
"ms-DS-Local-Effective-Recycle-Time","msDS-LocalEffectiveRecycleTime","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2060","2.5.5.11"
"ms-WMI-Name","msWMI-Name","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1639","2.5.5.12"
"Privilege-Holder","privilegeHolder","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.637","2.5.5.1"
"ms-TS-Profile-Path","msTSProfilePath","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1976","2.5.5.12"
"Frs-Computer-Reference","frsComputerReference","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.869","2.5.5.1"
"ms-DS-Lockout-Observation-Window","msDS-LockoutObservationWindow","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2017","2.5.5.16"
"ms-WMI-NormalizedClass","msWMI-NormalizedClass","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1640","2.5.5.12"
"Privilege-Value","privilegeValue","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.635","2.5.5.16"
"ms-TS-Home-Directory","msTSHomeDirectory","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1977","2.5.5.12"
"Frs-Computer-Reference-BL","frsComputerReferenceBL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.870","2.5.5.1"
"ms-DS-Lockout-Duration","msDS-LockoutDuration","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2018","2.5.5.16"
"ms-WMI-Parm1","msWMI-Parm1","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1682","2.5.5.12"
"Product-Code","productCode","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.818","2.5.5.10"
"ms-TS-Home-Drive","msTSHomeDrive","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1978","2.5.5.12"
"FRS-Control-Data-Creation","fRSControlDataCreation","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.871","2.5.5.12"
"ms-DS-Lockout-Threshold","msDS-LockoutThreshold","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2019","2.5.5.9"
"ms-WMI-Parm2","msWMI-Parm2","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1683","2.5.5.12"
"Profile-Path","profilePath","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.139","2.5.5.12"
"ms-TS-Allow-Logon","msTSAllowLogon","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1979","2.5.5.8"
"FRS-Control-Inbound-Backlog","fRSControlInboundBacklog","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.872","2.5.5.12"
"ms-DS-PSO-Applies-To","msDS-PSOAppliesTo","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2020","2.5.5.1"
"ms-WMI-Parm3","msWMI-Parm3","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1684","2.5.5.12"
"Proxied-Object-Name","proxiedObjectName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1249","2.5.5.7"
"ms-TS-Remote-Control","msTSRemoteControl","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1980","2.5.5.9"
"FRS-Control-Outbound-Backlog","fRSControlOutboundBacklog","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.873","2.5.5.12"
"ms-DS-PSO-Applied","msDS-PSOApplied","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2021","2.5.5.1"
"ms-WMI-Parm4","msWMI-Parm4","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1685","2.5.5.12"
"Proxy-Addresses","proxyAddresses","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.2.210","2.5.5.12"
"ms-TS-Max-Disconnection-Time","msTSMaxDisconnectionTime","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1981","2.5.5.9"
"FRS-Directory-Filter","fRSDirectoryFilter","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.484","2.5.5.12"
"ms-DS-Required-Domain-Behavior-Version","msDS-RequiredDomainBehaviorVersion","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2066","2.5.5.9"
"ms-WMI-PropertyName","msWMI-PropertyName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1641","2.5.5.12"
"Proxy-Generation-Enabled","proxyGenerationEnabled","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.2.523","2.5.5.8"
"ms-TS-Max-Connection-Time","msTSMaxConnectionTime","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1982","2.5.5.9"
"FRS-DS-Poll","fRSDSPoll","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.490","2.5.5.9"
"ms-DS-Required-Forest-Behavior-Version","msDS-RequiredForestBehaviorVersion","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2079","2.5.5.9"
"ms-WMI-Query","msWMI-Query","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1642","2.5.5.12"
"Proxy-Lifetime","proxyLifetime","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.103","2.5.5.16"
"ms-TS-Max-Idle-Time","msTSMaxIdleTime","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1983","2.5.5.9"
"FRS-Extensions","fRSExtensions","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.536","2.5.5.10"
"ms-DS-Resultant-PSO","msDS-ResultantPSO","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2022","2.5.5.1"
"ms-WMI-QueryLanguage","msWMI-QueryLanguage","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1643","2.5.5.12"
"Public-Key-Policy","publicKeyPolicy","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.420","2.5.5.10"
"ms-TS-Reconnection-Action","msTSReconnectionAction","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1984","2.5.5.8"
"FRS-Fault-Condition","fRSFaultCondition","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.491","2.5.5.12"
"ms-DS-Password-Settings-Precedence","msDS-PasswordSettingsPrecedence","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2023","2.5.5.9"
"ms-WMI-ScopeGuid","msWMI-ScopeGuid","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1686","2.5.5.12"
"Purported-Search","purportedSearch","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.886","2.5.5.12"
"ms-TS-Broken-Connection-Action","msTSBrokenConnectionAction","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1985","2.5.5.8"
"FRS-File-Filter","fRSFileFilter","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.483","2.5.5.12"
"ms-DS-Max-Values","msDs-MaxValues","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1842","2.5.5.9"
"ms-WMI-SourceOrganization","msWMI-SourceOrganization","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1644","2.5.5.12"
"Pwd-History-Length","pwdHistoryLength","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.95","2.5.5.9"
"ms-TS-Connect-Client-Drives","msTSConnectClientDrives","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1986","2.5.5.8"
"FRS-Flags","fRSFlags","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.874","2.5.5.9"
